line_no,raw,type,start,end,length_mm,estimated_time_sec,warnings,feedrate,feed_mode,spindle_speed,feed_unit,effective_feed_mm_min,feed_capped,plane,direction,tool_id,event,reference_code,reference_axes,phase2_entry_velocity_mm_s,phase2_exit_velocity_mm_s,phase2_peak_velocity_mm_s,phase2_v_cap_mm_s,phase2_a_cap_mm_s2,phase2_j_cap_mm_s3,phase2_profile_type,phase2_slowdown_ratio,phase2_bottleneck_reason,phase2_segment_count
49,X41.732 Y143.250 I80.575 J14.595,arc,"42.756, 135.509, 253.535","41.732, 143.25, 253.535",7.811396431084838,0.11814358551750415,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,60.13365837065608,71.79206793298589,71.7920679329859,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,2.67454747942582,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
50,X41.073 Y153.471 I262.678 J22.064,arc,"41.732, 143.25, 253.535","41.073, 153.471, 253.535",10.242866894673515,0.12507189434259705,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,71.79206793298589,91.41546168004717,91.4154616800472,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,2.1566176996629394,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,2
51,X40.569 Y166.672 I980.880 J44.114,arc,"41.073, 153.471, 253.535","40.569, 166.672, 253.535",13.210717210790394,0.1293130772053155,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,91.41546168004717,112.37248962068276,112.3724896206828,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,1.7148664221055825,acceleration or jerk limited; short segment speed degradation,2
52,G03 X39.498 Y199.434 I-9389.807 J-290.318,arc,"40.569, 166.672, 253.535","39.498, 199.434, 253.535",32.77951760611974,0.22068087721608337,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,112.37248962068276,166.66666666666663,166.66666666666666,166.66666666666666,800.0,10000.0,full_s_curve_with_cruise,1.1220471170485002,,1
53,X37.081 Y258.565 I-5636.515 J-200.847,arc,"39.498, 199.434, 253.535","37.081, 258.565, 253.535",59.18064872414481,0.47516485274827724,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,166.66666666666663,16.88189291122382,166.66666666666666,166.66666666666666,800.0,10000.0,full_s_curve_with_cruise,1.6763558568265826,acceleration or jerk limited; low exit velocity due to next junction,2
54,G01 X37.030 Y259.179,linear,"37.081, 258.565, 253.535","37.03, 259.179, 253.535",0.6161144374221161,0.04196932697101104,,10000.0,G94,10000.0,mm_per_min,10000.0,False,,,,,,,16.88189291122382,12.478331895224771,16.881892911223858,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,11.353228237548114,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
55,G03 X36.610 Y259.632 I-0.498 J-0.041,arc,"37.03, 259.179, 253.535","36.61, 259.632, 253.535",0.6658952455031466,0.05520395537977661,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,12.478331895224771,12.478331895232193,12.478331895232312,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,14.17736473482189,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
56,X0.000 Y262.514 I-37.335 J-240.318 F6000,arc,"36.61, 259.632, 253.535","0, 262.514, 253.535",36.758240980392806,0.4821357606184301,,6000.0,G94,10000.0,mm_per_min,6000.0,False,G17,G03,,,,,12.478331895232193,100.0,100.0,100.0,800.0,10000.0,mixed_degraded,2.4545018992285725,acceleration or jerk limited; low entry velocity due to previous junction; short segment speed degradation,6
57,X-36.609 Y259.634 I0.775 J-243.960 F6000,arc,"0, 262.514, 253.535","-36.609, 259.634, 253.535",36.756865632981686,0.4821482563903246,,6000.0,G94,10000.0,mm_per_min,6000.0,False,G17,G03,,,,,100.0,12.461052608232832,100.0,100.0,800.0,10000.0,mixed_degraded,2.454990647114457,acceleration or jerk limited; low exit velocity due to next junction; short segment speed degradation,6
58,X-37.030 Y259.181 I0.077 J-0.494 F10000,arc,"-36.609, 259.634, 253.535","-37.03, 259.181, 253.535",0.6667795072881372,0.05541347005473557,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,12.461052608232832,12.461052608239465,12.461052608239592,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,14.204680526848387,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
59,G01 X-37.081 Y258.565,linear,"-37.03, 259.181, 253.535","-37.081, 258.565, 253.535",0.6181075958115887,0.04211173266848695,,10000.0,G94,10000.0,mm_per_min,10000.0,False,,,,,,,12.461052608239465,16.89454767909473,16.894547679094742,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,11.355016762411548,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,1
60,G03 X-40.291 Y175.462 I5443.774 J-251.933,arc,"-37.081, 258.565, 253.535","-40.291, 175.462, 253.535",83.16577988113089,0.6243339566933425,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,16.89454767909473,146.89319111746943,166.66666666666666,166.66666666666666,800.0,10000.0,full_s_curve_with_cruise,1.7218369103772728,acceleration or jerk limited; low entry velocity due to previous junction,3
61,G02 X-40.849 Y158.682 I-2638.435 J79.335,arc,"-40.291, 175.462, 253.535","-40.849, 158.682, 253.535",16.78930356821552,0.13543615464305542,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,146.89319111746943,101.0358111562254,146.89319111746946,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,1.344470918191969,acceleration or jerk limited,1
62,X-41.463 Y146.628 I-432.985 J16.009,arc,"-40.849, 158.682, 253.535","-41.463, 146.628, 253.535",12.070017939571862,0.13391481203984812,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,101.0358111562254,78.53268036866015,101.03581115622546,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,1.9641268008564867,acceleration or jerk limited; low exit velocity due to next junction; short segment speed degradation,2
63,X-42.314 Y138.144 I-121.182 J7.865,arc,"-41.463, 146.628, 253.535","-42.314, 138.144, 253.535",8.528326049711424,0.1229489891315142,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,78.53268036866015,59.54947208618829,78.5326803686602,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,2.566522710617683,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,2
64,X-43.557 Y132.312 I-39.476 J5.364,arc,"-42.314, 138.144, 253.535","-43.557, 132.312, 253.535",5.9685723892779,0.10907658912576881,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,59.54947208618829,49.61045645509134,59.54947208618834,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.2376779113029346,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
65,X-45.193 Y128.929 I-11.142 J3.302,arc,"-43.557, 132.312, 253.535","-45.193, 128.929, 253.535",3.7743840800037853,0.08032562792790883,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,49.61045645509134,44.2283847094263,49.6104564550914,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,3.6876379191839175,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,3
66,X-49.226 Y126.046 I-6.128 J4.310,arc,"-45.193, 128.929, 253.535","-49.226, 126.046, 253.535",5.052713312213784,0.12484536141391299,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G02,,,,,44.2283847094263,36.411807143636565,44.2283847094263,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,4.465090559170877,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,5
67,G03 X-51.918 Y119.815 I1.769 J-4.462,arc,"-49.226, 126.046, 253.535","-51.918, 119.815, 253.535",7.539265320720712,0.3151389841028945,,10000.0,G94,10000.0,mm_per_min,10000.0,False,G17,G03,,,,,36.411807143636565,2.722743247525428,36.41180714363662,166.66666666666666,800.0,10000.0,degraded_s_curve_no_cruise,15.776614871494207,acceleration or jerk limited; low entry velocity due to previous junction; low exit velocity due to next junction; short segment speed degradation,9
68,G01 X50.579 Y114.210 Z252.070 F6000,linear,"-51.918, 119.815, 253.535","50.579, 114.21, 252.07",102.6605925318961,1.2235937550953873,,6000.0,G94,10000.0,mm_per_min,6000.0,False,,,,,,,2.722743247525428,2.1791863729742524,100.0,100.0,800.0,10000.0,full_s_curve_with_cruise,1.1918826152452053,low entry velocity due to previous junction; low exit velocity due to next junction,1
